"","id","host_is_superhost","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","security_deposit","cleaning_fee","guests_included","availability_365","number_of_reviews","instant_bookable","review_scores_rating"
"2276",9075656,"f","Rainier Valley",47.5716744974621,-122.28772083668,"House","Private room",2,1,1,1,49,0,0,1,355,10,"f",100
"2277",9710851,"f","Rainier Valley",47.5749892336443,-122.291086922261,"House","Private room",2,0,1,2,40,0,10,1,303,0,"t",96
"2278",1983713,"f","Rainier Valley",47.5909086375955,-122.294777673614,"House","Entire home/apt",4,1,1,1,95,300,75,2,360,13,"f",97
"2279",7363727,"t","Rainier Valley",47.5786865780148,-122.291524643939,"House","Private room",2,1,1,1,70,0,25,1,352,26,"f",98
"2280",10022421,"f","Rainier Valley",47.5737635204737,-122.29434170368,"House","Private room",2,1,1,1,74,150,50,1,89,0,"f",96
"2281",6274351,"f","Rainier Valley",47.5758907019804,-122.288477810212,"House","Private room",1,1,1,1,90,0,0,1,364,7,"f",100
"2282",777159,"t","Rainier Valley",47.5793103478358,-122.292886018419,"House","Entire home/apt",7,3,3,3,150,250,120,1,0,19,"f",93
"2283",3922845,"f","Rainier Valley",47.5797835631842,-122.291729461513,"House","Entire home/apt",4,1.5,4,3,175,0,0,1,247,0,"f",96
"2284",674113,"f","Rainier Valley",47.5684082524041,-122.286214045228,"House","Private room",1,1,1,1,42,0,0,1,275,190,"t",96
"2285",8053128,"t","Rainier Valley",47.5907481277902,-122.295345936471,"House","Private room",2,1.5,1,1,59,150,12,1,195,3,"f",100
"2286",7534300,"f","Rainier Valley",47.5909588198942,-122.294553315333,"House","Private room",3,2,1,2,125,750,35,2,365,6,"f",100
"2287",1009838,"f","Rainier Valley",47.5694732599727,-122.280106515633,"House","Private room",3,1,1,1,85,100,50,1,355,56,"f",90
"2288",9823290,"f","Rainier Valley",47.585650072087,-122.292886510385,"House","Private room",2,1,1,1,80,0,0,1,364,1,"f",100
"2289",5194332,"t","Rainier Valley",47.5834932048102,-122.288971535041,"Apartment","Entire home/apt",3,1,0,1,125,0,20,2,142,21,"f",99
"2290",841274,"f","Rainier Valley",47.5835724112612,-122.295901024476,"Apartment","Entire home/apt",5,1,1,3,90,0,60,2,275,69,"t",95
"2291",8904748,"f","Rainier Valley",47.5849146418578,-122.291848605198,"House","Entire home/apt",5,2,2,3,125,500,100,1,180,3,"f",100
"2292",8734809,"f","Rainier Valley",47.5652986096232,-122.284719196729,"Apartment","Entire home/apt",4,1,1,2,70,0,50,2,128,2,"f",100
"2293",7562331,"f","Rainier Valley",47.5741065700493,-122.285061803206,"Apartment","Entire home/apt",4,1,1,1,95,0,75,2,329,0,"f",96
"2294",4461706,"t","Rainier Valley",47.5684074937215,-122.281218750172,"Other","Entire home/apt",2,1,1,1,99,300,30,1,306,28,"f",100
"2295",3890786,"f","Rainier Valley",47.5896304785001,-122.295166127696,"Apartment","Entire home/apt",6,1,2,3,155,500,125,2,308,2,"t",100
"2296",8474253,"f","Rainier Valley",47.5779351416917,-122.294051711769,"House","Entire home/apt",2,1,1,1,80,200,61,2,11,0,"f",96
"2297",5559063,"f","Rainier Valley",47.5890758255632,-122.297658519686,"House","Entire home/apt",4,1.5,2,2,140,0,80,2,279,2,"f",80
"2298",4126284,"f","Rainier Valley",47.5664960257722,-122.286412232799,"Apartment","Private room",2,1.5,1,1,50,0,50,1,350,7,"f",89
"2299",1209447,"f","Rainier Valley",47.5682171747306,-122.281673188332,"House","Entire home/apt",6,2,3,3,139,100,60,2,0,7,"f",89
"2300",4364285,"f","Rainier Valley",47.5648608071913,-122.28544558181,"House","Entire home/apt",5,1.5,2,2,126,0,100,2,166,7,"t",94
"2301",6716874,"t","Rainier Valley",47.5670087919237,-122.281101243748,"Apartment","Entire home/apt",2,1,1,1,105,400,40,2,273,20,"f",96
"2302",4659824,"f","Rainier Valley",47.5754814848316,-122.288158702112,"House","Entire home/apt",6,1,2,2,150,250,80,1,364,0,"f",96
"2303",3677729,"t","Rainier Valley",47.5834440417907,-122.295867735997,"House","Private room",2,1,1,1,80,100,35,1,335,21,"f",99
"2304",1097520,"f","Rainier Valley",47.5690427586382,-122.282822027537,"Apartment","Entire home/apt",2,1.5,1,1,92,400,50,2,362,90,"f",96
"2305",2898954,"t","Rainier Valley",47.5796360766284,-122.29341107073,"House","Private room",2,1,1,1,69,0,0,1,89,18,"f",98
"2306",826436,"f","Rainier Valley",47.5754992529417,-122.29064478809,"House","Private room",2,1,1,1,75,250,35,1,88,39,"f",92
"2307",774659,"f","Rainier Valley",47.5659740075159,-122.284133314147,"House","Entire home/apt",3,1,1,2,105,0,0,2,240,40,"f",97
"2308",3849918,"f","Rainier Valley",47.589851448872,-122.295131502524,"Apartment","Entire home/apt",6,1,2,3,150,500,125,2,150,8,"t",85
"2309",7382303,"t","Rainier Valley",47.5801301558617,-122.285621356514,"House","Entire home/apt",2,1,1,2,150,0,50,1,356,25,"f",98
"2310",5376433,"f","Rainier Valley",47.5656738263014,-122.285120595928,"Apartment","Private room",2,1,1,1,54,0,0,1,342,22,"f",94
"2311",1750681,"f","Rainier Valley",47.5685602594852,-122.28642871364,"House","Private room",2,1,1,1,52,0,0,1,231,80,"t",96
"2312",7229312,"t","Rainier Valley",47.587694007413,-122.29445712986,"Apartment","Entire home/apt",4,1,2,3,150,0,250,1,45,1,"f",100
"2313",2520890,"f","Rainier Valley",47.5657698597441,-122.285007409869,"House","Private room",2,1,1,1,80,150,0,2,178,32,"f",94
"2314",8391954,"f","Rainier Valley",47.5906286537952,-122.289823532734,"House","Entire home/apt",4,1,2,2,200,0,90,1,16,3,"f",80
"2315",797358,"t","Rainier Valley",47.5712434646438,-122.290788342495,"House","Private room",2,1,1,1,68,0,0,2,31,67,"f",99
"2316",7922013,"f","Rainier Valley",47.5868374764409,-122.295262324265,"House","Private room",2,1,1,1,49,0,0,1,86,1,"f",100
"2317",7956337,"f","Rainier Valley",47.588286830813,-122.295912401917,"House","Private room",2,1,1,1,39,0,0,1,83,3,"f",93
"2318",2686659,"f","Rainier Valley",47.5737794199778,-122.284963635092,"Apartment","Entire home/apt",3,1,1,1,95,0,0,2,349,46,"f",91
"2319",755613,"f","Rainier Valley",47.5737539458833,-122.292719910153,"House","Private room",2,1,1,1,89,125,35,2,88,46,"f",96
"2320",1758935,"f","Rainier Valley",47.5692892289017,-122.285544887118,"House","Private room",2,1,1,1,62,0,0,2,348,206,"t",95
